type,leader_name,cluster,sentiment_score,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5,n_mentions,total_weight,confidence_score,leaders
leader,Askia,2.0,-0.7046153846153846,opportunistic backstabber,weak warmonger,diplomatic flip-flopper,punching bag,,7.0,6.5,0.25056125172437005,
leader,Attila,2.0,-0.5736434108527132,early game rusher,relentless warmonger,annoying neighbor,late game weakling,backstabbing betrayer,17.0,16.77,0.529342766878722,
leader,Boudicca,2.0,-0.045801526717557245,missionary spammer,two-faced betrayer,aggressive expansionist,culture wonder grabber,early game victim,8.0,9.17,0.31179032482609437,
leader,Dido,2.0,-0.4513031550068587,backstabbing traitor,aggressive warmonger,early game bully,inconsistent diplomat,,7.0,7.29,0.26462795525307564,
leader,GajahMada,2.0,-1.0,deceptive warmonger,hypocritical leader,annoying personality,persistent mocker,,2.0,1.0699999999999998,0.0215368321703692,
leader,GenghisKhan,2.0,-0.16639999999999996,aggressive warmonger,city state destroyer,disloyal neighbor,loyal distant ally,diplomatic pariah,15.0,12.5,0.45498061512922167,
leader,Harald,2.0,1.0,reasonable warrior,friendly fighter,balanced leader,,,1.0,1.0,0.0,
leader,Isabella,2.0,-0.22240527182866557,religious spammer,backstabbing betrayer,annoying chatter,weak threat,,7.0,6.07,0.24226809924946763,
leader,Montezuma,2.0,0.14566642388929352,relentless warmonger,honest aggressor,arrogant demander,forgiving enemy,,14.0,13.73,0.45958456228501837,
leader,Shaka,2.0,-0.04421052631578947,extreme warmonger,loyal friend,aggressive expander,honest straightforward,terrible neighbor,39.0,42.75,0.909047785164591,
leader,Gandhi,3.0,-0.30927835051546393,nuclear warmonger,peaceful pushover,fickle backstabber,wonder spammer,,13.0,13.58,0.44522434341899225,
leader,Ramkhamhaeng,3.0,-0.8498498498498499,annoying hypocrite,aggressive settler,city state hog,religious spammer,untrustworthy backstabber,12.0,13.32,0.42869308673056133,
leader,Selassie,3.0,-0.4180729450190528,religious spammer,passive turtle,wonder coveter,annoying hypocrite,,14.0,18.37,0.5096756312783655,
leader,AhmadalMansur,4.0,0.23919308357348704,peaceful trader,wonder spammer,friendly ally,easy target,,6.0,6.9399999999999995,0.23988094703558882,
leader,Darius,4.0,-1.0,scheming warmonger,runaway threat,production powerhouse,opportunistic backstabber,,3.0,3.0,0.09735988990696026,
leader,EnricoDandolo,4.0,-0.5895589558955896,city state buyer,annoying neighbor,wonder spammer,missionary spammer,,8.0,11.11,0.33770227425640026,
leader,HarunAlRashid,4.0,-0.07100591715976332,city spammer,science powerhouse,diplomatic manipulator,religious spreader,late game threat,7.0,6.76,0.2553480536019556,
leader,Nebuchadnezzar,4.0,-0.5,science threat,defensive turtle,wonder competitor,difficult diplomat,,6.0,6.0,0.22331897676170517,
leader,Pacal,4.0,-0.523274478330658,wonder spammer,religious focused,peaceful neighbor,great person trader,,7.0,6.23,0.24541140536838404,
leader,Pachacuti,4.0,-0.40476190476190477,aggressive expander,tech powerhouse,treacherous friend,forward settler,,3.0,3.3600000000000003,0.10542960559772832,
leader,Pedro,4.0,0.7408906882591094,peaceful friend,culture leader,diplomatic ally,,,4.0,4.9399999999999995,0.1612419357324927,
leader,Ramesses,4.0,-0.5555555555555556,wonder hog,irritable cranky,runaway potential,culture focused,tall builder,9.0,9.0,0.3256755258024556,
leader,Sejong,4.0,-0.37334510150044137,science monster,late game threat,city spammer,boom or bust,,10.0,11.33,0.37442436768993176,
leader,Theodora,4.0,0.49095966620305986,religious powerhouse,passive ally,wonder builder,consistent runaway,,8.0,7.1899999999999995,0.2796539387519475,
leader,WuZetian,4.0,-0.17627677100494235,backstabbing antagonist,neutral trader,weak militarily,dramatic personality,,6.0,6.07,0.22462685767522333,
cluster,,0.0,-0.34312108215110526,city spammer,territorial expansionist,annoying neighbor,backstabbing friend,wonder hog,85.0,90.93,0.6653370019234809,"Casimir, Elizabeth, Gustavus, Hiawatha, Kamehameha, Maria, MariaI, Pocatello, Washington, William"
cluster,,1.0,-0.47715178646845174,diplomatic manipulator,city state hog,aggressive expansionist,forward settler,backstabber,109.0,118.39,0.9252586838182904,"Alexander, Augustus, Bismark, Catherine, Napoleon, OdaNobunaga, Suleiman"
cluster,,2.0,-0.16129296907047339,aggressive warmonger,backstabbing betrayer,city spammer,missionary spammer,loyal ally,122.0,121.89,1.0,"Ashurbanipal, Askia, Attila, Boudicca, Dido, GajahMada, GenghisKhan, Harald, Isabella, Montezuma, Shaka"
cluster,,3.0,-0.5124806715263971,religious spammer,hypocritical warmonger,peaceful turtle,wonder hog,nuclear gandhi,39.0,45.269999999999996,0.0,"Gandhi, Ramkhamhaeng, Selassie"
cluster,,4.0,-0.23312583913096546,late game monster,science powerhouse,wonder spammer,peaceful trader,religious pusher,77.0,81.93,0.5665007095550186,"AhmadalMansur, Darius, EnricoDandolo, HarunAlRashid, Nebuchadnezzar, Pacal, Pachacuti, Pedro, Ramesses, Sejong, Theodora, WuZetian"
