leader_name,WarmongerHate,WonderCompetitiveness,VictoryCompetitiveness,Loyalty,MinorCivCompetitiveness,warrior,friendliness,deceptiveness,city_state_benefactor,minor_ignore,naval,defense,science,EXPANSION,GROWTH,WONDER,CULTURE,RELIGION,DIPLOMACY
EnricoDandolo,4.883720930232558,2.9069767441860463,4.744186046511628,2.5348837209302326,6.953488372093023,3.3767441860465124,5.8023255813953485,6.8604651162790695,6.127906976744186,3.604651162790698,5.781395348837209,5.837209302325581,4.244186046511628,1.7441860465116283,5.883720930232558,5.8604651162790695,4.1395348837209305,6.348837209302325,6.465116279069767
GajahMada,4.883720930232558,3.9069767441860463,4.744186046511628,3.5348837209302326,4.953488372093023,5.176744186046513,3.8023255813953485,5.8604651162790695,5.127906976744186,4.604651162790698,6.781395348837209,5.337209302325581,3.7441860465116283,6.744186046511628,4.883720930232558,5.8604651162790695,5.1395348837209305,6.348837209302325,4.465116279069767
Gandhi,6.883720930232558,2.9069767441860463,1.7441860465116283,6.534883720930233,2.953488372093023,2.7767441860465123,4.8023255813953485,2.8604651162790695,6.377906976744186,5.604651162790698,2.981395348837209,5.337209302325581,5.744186046511628,1.7441860465116283,9.883720930232558,5.8604651162790695,7.1395348837209305,7.348837209302325,5.465116279069767
GenghisKhan,3.883720930232558,3.9069767441860463,7.744186046511628,6.534883720930233,2.953488372093023,6.776744186046512,3.8023255813953485,2.8604651162790695,3.6279069767441863,3.604651162790698,4.981395348837209,3.337209302325581,3.7441860465116283,6.744186046511628,4.883720930232558,2.8604651162790695,4.1395348837209305,4.348837209302325,2.4651162790697674
Gustavus,4.883720930232558,4.906976744186046,3.7441860465116283,5.534883720930233,4.953488372093023,5.9767441860465125,4.8023255813953485,2.8604651162790695,6.127906976744186,4.604651162790698,4.581395348837209,4.837209302325581,5.244186046511628,2.7441860465116283,4.883720930232558,4.8604651162790695,4.1395348837209305,3.3488372093023253,7.465116279069767
Harald,3.883720930232558,2.9069767441860463,2.7441860465116283,6.534883720930233,4.953488372093023,6.176744186046513,3.8023255813953485,3.8604651162790695,3.8779069767441863,6.604651162790698,7.981395348837209,3.837209302325581,4.244186046511628,4.744186046511628,4.883720930232558,2.8604651162790695,4.1395348837209305,4.348837209302325,4.465116279069767
HarunAlRashid,4.883720930232558,6.906976744186046,3.7441860465116283,5.534883720930233,3.953488372093023,3.7767441860465123,5.3023255813953485,5.8604651162790695,5.877906976744186,3.604651162790698,4.181395348837209,5.337209302325581,6.744186046511628,3.7441860465116283,4.883720930232558,5.8604651162790695,5.1395348837209305,7.348837209302325,5.465116279069767
Hiawatha,5.883720930232558,3.9069767441860463,2.7441860465116283,6.534883720930233,2.953488372093023,2.9767441860465125,5.8023255813953485,4.8604651162790695,5.877906976744186,5.604651162790698,3.581395348837209,6.337209302325581,5.244186046511628,7.744186046511628,2.883720930232558,5.8604651162790695,4.1395348837209305,6.348837209302325,5.465116279069767
Isabella,5.883720930232558,3.9069767441860463,5.744186046511628,4.534883720930233,3.953488372093023,5.376744186046512,4.3023255813953485,4.8604651162790695,3.6279069767441863,6.604651162790698,7.181395348837209,3.837209302325581,3.2441860465116283,5.744186046511628,4.883720930232558,4.8604651162790695,4.1395348837209305,7.348837209302325,4.465116279069767
Kamehameha,6.883720930232558,2.9069767441860463,2.7441860465116283,6.534883720930233,4.953488372093023,4.176744186046513,5.3023255813953485,3.8604651162790695,5.377906976744186,6.604651162790698,7.981395348837209,5.337209302325581,3.7441860465116283,6.744186046511628,2.883720930232558,2.8604651162790695,5.1395348837209305,4.348837209302325,5.465116279069767
Maria,6.883720930232558,5.906976744186046,3.7441860465116283,5.534883720930233,7.953488372093023,3.9767441860465125,6.3023255813953485,2.8604651162790695,7.127906976744186,3.604651162790698,3.381395348837209,5.337209302325581,4.244186046511628,3.7441860465116283,3.883720930232558,4.8604651162790695,6.1395348837209305,5.348837209302325,7.465116279069767
MariaI,4.883720930232558,4.906976744186046,4.744186046511628,4.534883720930233,5.953488372093023,3.7767441860465123,6.3023255813953485,5.8604651162790695,6.377906976744186,3.604651162790698,6.181395348837209,4.337209302325581,4.244186046511628,5.744186046511628,3.883720930232558,3.8604651162790695,4.1395348837209305,4.348837209302325,4.465116279069767
Montezuma,0.8837209302325579,1.9069767441860463,5.744186046511628,3.5348837209302326,4.953488372093023,6.9767441860465125,5.3023255813953485,6.8604651162790695,2.1279069767441863,3.604651162790698,3.581395348837209,2.837209302325581,4.744186046511628,6.744186046511628,4.883720930232558,5.8604651162790695,5.1395348837209305,6.348837209302325,3.4651162790697674
Napoleon,2.883720930232558,5.906976744186046,7.744186046511628,2.5348837209302326,6.953488372093023,6.176744186046513,3.8023255813953485,6.8604651162790695,5.127906976744186,4.604651162790698,5.181395348837209,3.337209302325581,5.744186046511628,6.744186046511628,4.883720930232558,3.8604651162790695,7.1395348837209305,2.3488372093023253,3.4651162790697674
Nebuchadnezzar,3.883720930232558,7.906976744186046,5.744186046511628,3.5348837209302326,3.953488372093023,4.776744186046512,4.8023255813953485,3.8604651162790695,4.627906976744186,3.604651162790698,4.581395348837209,6.337209302325581,5.744186046511628,2.7441860465116283,5.883720930232558,6.8604651162790695,4.1395348837209305,4.348837209302325,5.465116279069767
OdaNobunaga,5.883720930232558,4.906976744186046,6.744186046511628,2.5348837209302326,5.953488372093023,6.9767441860465125,2.8023255813953485,5.8604651162790695,4.627906976744186,5.604651162790698,5.981395348837209,4.337209302325581,4.744186046511628,6.744186046511628,4.883720930232558,4.8604651162790695,5.1395348837209305,3.3488372093023253,6.465116279069767
Pacal,5.883720930232558,6.906976744186046,4.744186046511628,5.534883720930233,3.953488372093023,3.9767441860465125,5.3023255813953485,4.8604651162790695,4.127906976744186,7.604651162790698,2.981395348837209,5.337209302325581,6.244186046511628,2.7441860465116283,4.883720930232558,6.8604651162790695,5.1395348837209305,7.348837209302325,4.465116279069767
Pachacuti,4.883720930232558,6.906976744186046,4.744186046511628,4.534883720930233,2.953488372093023,4.9767441860465125,5.3023255813953485,5.8604651162790695,5.627906976744186,5.604651162790698,3.981395348837209,4.337209302325581,4.244186046511628,4.744186046511628,4.883720930232558,6.8604651162790695,5.1395348837209305,5.348837209302325,4.465116279069767
Pedro,5.883720930232558,5.906976744186046,5.744186046511628,6.534883720930233,4.953488372093023,3.576744186046512,6.8023255813953485,4.8604651162790695,6.127906976744186,5.604651162790698,5.581395348837209,4.837209302325581,3.7441860465116283,3.7441860465116283,6.883720930232558,4.8604651162790695,6.1395348837209305,4.348837209302325,4.465116279069767
Pocatello,4.883720930232558,4.906976744186046,4.744186046511628,4.534883720930233,4.953488372093023,4.176744186046513,5.8023255813953485,2.8604651162790695,6.627906976744186,4.604651162790698,3.381395348837209,7.337209302325581,4.244186046511628,6.744186046511628,7.883720930232558,4.8604651162790695,4.1395348837209305,4.348837209302325,4.465116279069767
Ramesses,5.883720930232558,8.906976744186046,3.7441860465116283,3.5348837209302326,4.953488372093023,4.176744186046513,5.3023255813953485,5.8604651162790695,5.377906976744186,5.604651162790698,4.581395348837209,5.337209302325581,5.744186046511628,3.7441860465116283,5.883720930232558,9.86046511627907,6.1395348837209305,6.348837209302325,4.465116279069767
Ramkhamhaeng,7.883720930232558,3.9069767441860463,2.7441860465116283,5.534883720930233,3.953488372093023,4.376744186046512,5.8023255813953485,5.8604651162790695,6.377906976744186,3.604651162790698,3.181395348837209,6.337209302325581,5.244186046511628,4.744186046511628,5.883720930232558,4.8604651162790695,7.1395348837209305,5.348837209302325,7.465116279069767
Sejong,3.883720930232558,5.906976744186046,5.744186046511628,6.534883720930233,3.953488372093023,3.576744186046512,6.3023255813953485,3.8604651162790695,5.127906976744186,6.604651162790698,5.181395348837209,5.837209302325581,7.244186046511628,3.7441860465116283,5.883720930232558,5.8604651162790695,4.1395348837209305,4.348837209302325,3.4651162790697674
Selassie,7.883720930232558,4.906976744186046,2.7441860465116283,5.534883720930233,3.953488372093023,3.576744186046512,6.3023255813953485,3.8604651162790695,5.377906976744186,6.604651162790698,2.981395348837209,5.837209302325581,3.7441860465116283,2.7441860465116283,6.883720930232558,4.8604651162790695,6.1395348837209305,6.348837209302325,5.465116279069767
Shaka,3.883720930232558,5.906976744186046,7.744186046511628,7.534883720930233,4.953488372093023,7.176744186046513,1.8023255813953485,1.8604651162790695,2.8779069767441863,2.604651162790698,3.581395348837209,4.337209302325581,2.2441860465116283,9.74418604651163,2.883720930232558,2.8604651162790695,2.1395348837209305,2.3488372093023253,5.465116279069767
Suleiman,3.883720930232558,4.906976744186046,4.744186046511628,4.534883720930233,5.953488372093023,6.176744186046513,5.8023255813953485,6.8604651162790695,5.127906976744186,5.604651162790698,7.181395348837209,3.337209302325581,6.244186046511628,6.744186046511628,3.883720930232558,4.8604651162790695,5.1395348837209305,4.348837209302325,4.465116279069767
Theodora,5.883720930232558,6.906976744186046,4.744186046511628,3.5348837209302326,5.953488372093023,3.9767441860465125,6.3023255813953485,5.8604651162790695,4.877906976744186,3.604651162790698,5.181395348837209,7.337209302325581,4.244186046511628,2.7441860465116283,6.883720930232558,5.8604651162790695,6.1395348837209305,6.348837209302325,4.465116279069767
Washington,6.883720930232558,2.9069767441860463,3.7441860465116283,5.534883720930233,4.953488372093023,4.776744186046512,5.3023255813953485,4.8604651162790695,5.127906976744186,6.604651162790698,4.781395348837209,6.337209302325581,6.244186046511628,5.744186046511628,2.883720930232558,4.8604651162790695,5.1395348837209305,3.3488372093023253,6.465116279069767
William,5.883720930232558,3.9069767441860463,4.744186046511628,6.534883720930233,5.953488372093023,3.7767441860465123,5.3023255813953485,3.8604651162790695,6.127906976744186,4.604651162790698,7.981395348837209,5.337209302325581,4.244186046511628,4.744186046511628,2.883720930232558,3.8604651162790695,5.1395348837209305,4.348837209302325,5.465116279069767
WuZetian,4.883720930232558,4.906976744186046,2.7441860465116283,2.5348837209302326,6.953488372093023,4.9767441860465125,5.8023255813953485,6.8604651162790695,5.627906976744186,4.604651162790698,4.781395348837209,5.337209302325581,7.244186046511628,4.744186046511628,7.883720930232558,5.8604651162790695,5.1395348837209305,4.348837209302325,2.4651162790697674
